(13734.0, 5886.0) ==> (13766.0, 6036.0) ==> (13798.0, 6186.0) ==> (13830.0, 6336.0)
(13734.0, 5886.0) ==> (13766.0, 6036.0) ==> (13798.0, 6186.0) ==> (13830.0, 6336.0)
(13830.0, 6336.0) ==> (14068.0, 6475.0) ==> (14306.0, 6614.0) ==> (14544.0, 6753.0)
(13830.0, 6336.0) ==> (14068.0, 6475.0) ==> (14306.0, 6614.0) ==> (14544.0, 6753.0)
(13830.0, 6336.0) ==> (14068.0, 6475.0) ==> (14306.0, 6614.0) ==> (14544.0, 6753.0)
(14544.0, 6753.0) ==> (14847.0, 7054.0) ==> (15150.0, 7355.0) ==> (15453.0, 7656.0)
(13830.0, 6336.0) ==> (14068.0, 6475.0) ==> (14306.0, 6614.0) ==> (14544.0, 6753.0)
(14544.0, 6753.0) ==> (14847.0, 7054.0) ==> (15150.0, 7355.0) ==> (15453.0, 7656.0)
(14544.0, 6753.0) ==> (14847.0, 7054.0) ==> (15150.0, 7355.0) ==> (15453.0, 7656.0)
(15453.0, 7656.0) ==> (15554.0, 8114.0) ==> (15655.0, 8572.0) ==> (15756.0, 9030.0)
(14544.0, 6753.0) ==> (14847.0, 7054.0) ==> (15150.0, 7355.0) ==> (15453.0, 7656.0)
(15453.0, 7656.0) ==> (15554.0, 8114.0) ==> (15655.0, 8572.0) ==> (15756.0, 9030.0)
(15453.0, 7656.0) ==> (15554.0, 8114.0) ==> (15655.0, 8572.0) ==> (15756.0, 9030.0)
(15453.0, 7656.0) ==> (15554.0, 8114.0) ==> (15655.0, 8572.0) ==> (15756.0, 9030.0)
(16407.0, 8580.0) ==> (16190.0, 8730.0) ==> (15973.0, 8880.0) ==> (15756.0, 9030.0)
(16407.0, 8580.0) ==> (16190.0, 8730.0) ==> (15973.0, 8880.0) ==> (15756.0, 9030.0)
(16407.0, 8580.0) ==> (16190.0, 8730.0) ==> (15973.0, 8880.0) ==> (15756.0, 9030.0)
(16407.0, 8580.0) ==> (16190.0, 8730.0) ==> (15973.0, 8880.0) ==> (15756.0, 9030.0)
(16590.0, 5247.0) ==> (16309.0, 6150.0) ==> (16028.0, 7053.0) ==> (15747.0, 7956.0)
(16590.0, 5247.0) ==> (16309.0, 6150.0) ==> (16028.0, 7053.0) ==> (15747.0, 7956.0)
(16590.0, 5247.0) ==> (16309.0, 6150.0) ==> (16028.0, 7053.0) ==> (15747.0, 7956.0)
(16590.0, 5247.0) ==> (16749.0, 5880.0) ==> (16908.0, 6513.0) ==> (17067.0, 7146.0)
(16590.0, 5247.0) ==> (16309.0, 6150.0) ==> (16028.0, 7053.0) ==> (15747.0, 7956.0)
(16590.0, 5247.0) ==> (16749.0, 5880.0) ==> (16908.0, 6513.0) ==> (17067.0, 7146.0)
